ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2015,"2015",58786,3588.42862545711,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2015,"2015",50162,3260.3834130359583,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2015,"2015",17297,2742.4407012732286,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2015,"2015",35113,3163.8868500627514,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2015,"2015",82299,4479.737157468058,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2015,"2015",7071,1294.7528721729102,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2015,"2015",117985,5649.649635154378,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2015,"2015",83128,4818.354905981917,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2015,"2015",2698,1225.3734124747446,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
1,"Construction (Group)",2,"Construction",2015,"2015",59913,4384.795548255357,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2015,"2015",198692,8311.888654210907,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2015,"2015",1260,574.6546789159556,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2015,"2015",30295,2903.8777522478454,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2015,"2015",1822,650.2707128573453,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2015,"2015",42635,3296.3108166554925,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2015,"2015",63786,4654.813959762517,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2015,"2015",32500,2883.4155094262774,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2015,"2015",33669,3157.0584410175243,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2014,"2014",17736,2109.447795040209,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2014,"2014",94750,5054.057083175852,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2014,"2014",28799,2785.848703716697,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2014,"2014",453,342.42079376112656,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2014,"2014",54345,3303.3427009621637,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
1,"Construction (Group)",2,"Construction",2014,"2014",54778,3627.772870508847,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2014,"2014",185950,7484.983500315816,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
